product,rating,rating count,price,product url
"ZAP IT! Bug Zapper Battery Powered (2xAA Included) Bug Zapper Racket, 3,500 Volt  ",4.3 out of 5 stars,"5,236  ",24.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NTYxMjMyNjY3NDYzNDQwOjE2NjUyNTkyMjI6c3BfbXRmOjIwMDA4OTM0NDAyNTY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FZAP-Bug-Zapper-Battery-Mosquito%2Fdp%2FB07KZQKWVP%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dzep%26qid%3D1665259222%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-12-spons%26psc%3D1
"ZAP iT! Electric Fly Swatter Racket & Mosquito Zapper - High Duty 4,000 Volt Electric Bug Zapper Racket - Fly Killer USB Rechargeable Fly Zapper Indoor Safe - 2 Pack  ",4.2 out of 5 stars,"22,668  ",31.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NTYxMjMyNjY3NDYzNDQwOjE2NjUyNTkyMjI6c3BfbXRmOjIwMDAzMDI3MTczNDMyMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FRechargeable-Electric-Swatter-Mosquito-Charging%2Fdp%2FB076CL94FF%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dzep%26qid%3D1665259222%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-17-spons%26psc%3D1
"EVERSPROUT 1.5-to-3 Foot Swivel Squeegee and Microfiber Window Scrubber (8-10 Ft Standing Reach) | 2-in-1 Window & Glass Cleaning Combo | Lightweight, Aluminum Extension Pole | Includes 10-inch Blades  ",4.4 out of 5 stars,"2,410  ",27.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A10092671K1TXP2V9SO7C&url=%2FEVERSPROUT-Squeegee-Microfiber-Lightweight-Extension%2Fdp%2FB07WNXYTDW%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dzep%26qid%3D1665259224%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-17-spons%26psc%3D1&qualifier=1665259224&id=3746437160713294&widgetName=sp_atf_next
"Electric Spin Scrubber - Cordless Power Scrubber Cleaning Brush - Shower Scrubber for Cleaning Scrub Brush for Bathroom,Tub,Floor,Sink,Tile,Grout,Window,Kitchen Stove Cooker, Household Cleaning Tools  ",5.0 out of 5 stars,4  ,39.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00094503G3FKBKR9SEDX&url=%2FElectric-Spin-Scrubber-Cordless-Household%2Fdp%2FB0B9MW1NXZ%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dzep%26qid%3D1665259224%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-18-spons%26psc%3D1&qualifier=1665259224&id=3746437160713294&widgetName=sp_atf_next
"Lenicany 6Pack Pumice Stone for Toilet Cleaning Bowl Stick,Powerfully Cleans Hard Water Rings，Calcium Buildup & Stains, Suitable for Cleaning Toilet, Bathtubs, Kitchen Sink, Grill  ",4.7 out of 5 stars,"1,624  ",5.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01318323PVA09K1XRRW0&url=%2FLenicany-Cleaning-Powerfully-Rings%25EF%25BC%258CCalcium-Suitable%2Fdp%2FB09PC1W676%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dzep%26qid%3D1665259224%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-27-spons%26psc%3D1&qualifier=1665259224&id=3746437160713294&widgetName=sp_mtf
"3pcs Drill Brush Scrub Brush Drill Attachment Kit, 2/3.5/4 inch Cleaner Combo Time Saving Kit and Power Scrubber Cleaning Kit, Grout Cleaner for Car, Bathroom, Wooden Floor, Laundry Room Cleaning  ",4.4 out of 5 stars,14  ,12.95,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01347852X0KD1YHCWLY6&url=%2FAttachment-Cleaner-Scrubber-Cleaning-Bathroom%2Fdp%2FB09H3CXJ4B%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dzep%26qid%3D1665259224%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-28-spons%26psc%3D1&qualifier=1665259224&id=3746437160713294&widgetName=sp_mtf
"2 Pack Toilet Cleaner Hard Water Build up Remover with Ergonomic Handle, Toilet Bowl Stain Ring Remover, Pumice Stone Toilet Cleaner Tool Stain Hard Water Ring Remover for Toilet, Pool, Bathroom, Sink  ",4.6 out of 5 stars,"2,036  ",8.99,https://amazon.com/Toilet-Cleaner-Remover-Ergonomic-Bathroom/dp/B08CRGFKHN/ref=sr_1_29?keywords=zep&qid=1665259224&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-29
"100 Pack Magic Sponge Eraser Extra Thick and Long Lasting Melamine Cleaning Sponges in Bulk - Multi Surface Power Scrubber Foam Cleaning Pads - Bathtub, Floor, Baseboard, Bathroom, Wall Cleaner  ",4.3 out of 5 stars,"4,634  ",28.99,https://amazon.com/Sponge-Lasting-Melamine-Cleaning-Sponges/dp/B08P4K7ZGP/ref=sr_1_30?keywords=zep&qid=1665259224&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-30
"6 Pack Household Deep Cleaning Brush Set-Kitchen Cleaning Brushes, Includes Scrub Brush/Dish Brush/Bottle Brush/Grout Corner Brushes/Crevice Brush/Shoe Brush/ for Bathroom, Floor, Tub, Shower, Tile  ",4.6 out of 5 stars,845  ,12.99,https://amazon.com/Household-Cleaning-Set-Kitchen-Brushes-Bathroom/dp/B09723MJ33/ref=sr_1_34?keywords=zep&qid=1665259224&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-34
2 in 1 Cleaning Brush Tub and Tile Scrubber Brush Sponge with 46'' Extendable Long Lightweight Handle Detachable Stiff Bristles Scrub Brush for Cleaning Bathtub Shower Bathroom  ,4.2 out of 5 stars,"1,319  ",19.99,https://amazon.com/Cleaning-Scrubber-Extendable-Lightweight-Detachable/dp/B0982Q32K7/ref=sr_1_35?keywords=zep&qid=1665259224&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-35
